id_tag,treatment,id_with_controls,position,lane,di,snapshot_time_stamp,projected_shoot_area_pixels,rgb_tv_result_area,dai,experiment
080320-R1,Infected,CVR484,5,1,13.67948717948718,2020-05-11T09:48:45Z,48967,8971,-1,2020
080317-R1,Infected,Genesis090,2,1,0.125,2020-05-11T09:50:19Z,32993,6428,-1,2020
080316-R1,Control,CVR480,1,1,0,2020-05-11T09:53:27Z,51168,9421,-1,2020
080341-R1,Infected,CVR480,1,2,1.112068965517241,2020-05-11T09:55:01Z,54901,11867,-1,2020
080344-R1,Control,CVR484,4,2,0,2020-05-11T09:59:41Z,57988,11195,-1,2020
080345-R1,Control,Howzat,5,2,0,2020-05-11T10:01:14Z,37043,7277,-1,2020
080366-R1,Control,CVR477,1,3,0,2020-05-11T10:02:47Z,38220,8965,-1,2020
080367-R1,Infected,CVR477,2,3,1.5416666666666667,2020-05-11T10:04:22Z,47973,9990,-1,2020
080369-R1,Control,Genesis090,4,3,0,2020-05-11T10:07:27Z,57591,11095,-1,2020
080370-R1,Infected,Howzat,5,3,7.791666666666667,2020-05-11T10:09:00Z,42860,8162,-1,2020
080350-R2,Infected,CVR480,10,2,1.612068965517241,2020-05-11T10:18:58Z,53976,8593,-1,2020
080374-R2,Infected,Howzat,9,3,14.63888888888889,2020-05-11T10:20:32Z,37702,7865,-1,2020
080372-R2,Infected,CVR477,7,3,11.78921568627451,2020-05-11T10:22:06Z,48555,9658,-1,2020
080371-R2,Control,CVR477,6,3,0,2020-05-11T10:23:39Z,31131,7080,-1,2020
080347-R2,Infected,CVR484,7,2,10.145833333333334,2020-05-11T10:28:18Z,50707,9769,-1,2020
080348-R2,Control,CVR480,8,2,0,2020-05-11T10:29:51Z,37821,7987,-1,2020
080349-R2,Control,Genesis090,9,2,0,2020-05-11T10:31:24Z,44809,8476,-1,2020
080322-R2,Control,Howzat,7,1,0,2020-05-11T10:32:57Z,42824,8400,-1,2020
080324-R2,Infected,Genesis090,9,1,16.916666666666668,2020-05-11T10:36:04Z,57178,10692,-1,2020
080325-R2,Control,CVR484,10,1,0,2020-05-11T10:39:11Z,53934,10000,-1,2020
080351-R3,Control,CVR484,11,2,0,2020-05-11T10:43:49Z,39573,8304,-1,2020
080326-R3,Control,Howzat,11,1,0,2020-05-11T10:46:55Z,36023,7844,-1,2020
080376-R3,Control,CVR477,11,3,0,2020-05-11T10:48:29Z,33942,6910,-1,2020
080377-R3,Infected,CVR484,12,3,7.806451612903226,2020-05-11T10:50:03Z,37391,7321,-1,2020
080353-R3,Infected,CVR477,13,2,0.5,2020-05-11T10:51:36Z,27972,5984,-1,2020
080378-R3,Control,CVR480,13,3,0,2020-05-11T10:53:10Z,38577,7714,-1,2020
080354-R3,Infected,CVR480,14,2,1.4615384615384617,2020-05-11T10:56:17Z,47453,10472,-1,2020
