id,id2,.metric,.estimator,.estimate,.config,model,alive_only,response,VNIR_only,normalization,derivative,imaging_date,dataset
Repeat1,Fold1,rmse,standard,9.16656485820842,Preprocessor1_Model1,LASSO,TRUE,reflectance_raw,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold1,rsq,standard,0.006467723048211641,Preprocessor1_Model1,LASSO,TRUE,reflectance_raw,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold2,rmse,standard,13.598823664684636,Preprocessor1_Model1,LASSO,TRUE,reflectance_raw,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold2,rsq,standard,0.2722364929677081,Preprocessor1_Model1,LASSO,TRUE,reflectance_raw,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat2,Fold1,rmse,standard,15.017765882567534,Preprocessor1_Model1,LASSO,TRUE,reflectance_raw,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat2,Fold1,rsq,standard,0.047927192436278,Preprocessor1_Model1,LASSO,TRUE,reflectance_raw,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat2,Fold2,rmse,standard,9.381888054491231,Preprocessor1_Model1,LASSO,TRUE,reflectance_raw,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat2,Fold2,rsq,standard,0.002511976582505875,Preprocessor1_Model1,LASSO,TRUE,reflectance_raw,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold1,rmse,standard,6.787651754547422,Preprocessor1_Model1,LASSO 0.8 cor filter,TRUE,reflectance_raw,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold1,rsq,standard,0.015345235758928145,Preprocessor1_Model1,LASSO 0.8 cor filter,TRUE,reflectance_raw,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold2,rmse,standard,11.240257492342453,Preprocessor1_Model1,LASSO 0.8 cor filter,TRUE,reflectance_raw,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold2,rsq,standard,0.2531745328119489,Preprocessor1_Model1,LASSO 0.8 cor filter,TRUE,reflectance_raw,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat2,Fold1,rmse,standard,9.530689094167835,Preprocessor1_Model1,LASSO 0.8 cor filter,TRUE,reflectance_raw,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat2,Fold1,rsq,standard,0.008676070178585711,Preprocessor1_Model1,LASSO 0.8 cor filter,TRUE,reflectance_raw,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat2,Fold2,rmse,standard,9.609028777718029,Preprocessor1_Model1,LASSO 0.8 cor filter,TRUE,reflectance_raw,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat2,Fold2,rsq,standard,0.005836152453017181,Preprocessor1_Model1,LASSO 0.8 cor filter,TRUE,reflectance_raw,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold1,rmse,standard,7.382624152903411,Preprocessor1_Model1,PLSR,TRUE,reflectance_raw,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold1,rsq,standard,0.01191865482625575,Preprocessor1_Model1,PLSR,TRUE,reflectance_raw,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold2,rmse,standard,16.607127570516777,Preprocessor1_Model1,PLSR,TRUE,reflectance_raw,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold2,rsq,standard,0.3093361572333207,Preprocessor1_Model1,PLSR,TRUE,reflectance_raw,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat2,Fold1,rmse,standard,14.222123568379963,Preprocessor1_Model1,PLSR,TRUE,reflectance_raw,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat2,Fold1,rsq,standard,0.024408948221159174,Preprocessor1_Model1,PLSR,TRUE,reflectance_raw,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat2,Fold2,rmse,standard,10.937066787585405,Preprocessor1_Model1,PLSR,TRUE,reflectance_raw,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat2,Fold2,rsq,standard,0.007148824172031525,Preprocessor1_Model1,PLSR,TRUE,reflectance_raw,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold1,rmse,standard,8.023518156170905,Preprocessor1_Model1,SVM,TRUE,reflectance_raw,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold1,rsq,standard,0.02085016284521363,Preprocessor1_Model1,SVM,TRUE,reflectance_raw,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold2,rmse,standard,7.311229061375605,Preprocessor1_Model1,SVM,TRUE,reflectance_raw,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold2,rsq,standard,0.013187894606826843,Preprocessor1_Model1,SVM,TRUE,reflectance_raw,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat2,Fold1,rmse,standard,9.32234904738913,Preprocessor1_Model1,SVM,TRUE,reflectance_raw,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat2,Fold1,rsq,standard,0.001453483748013156,Preprocessor1_Model1,SVM,TRUE,reflectance_raw,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat2,Fold2,rmse,standard,9.559516633656525,Preprocessor1_Model1,SVM,TRUE,reflectance_raw,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat2,Fold2,rsq,standard,0.08083810494568366,Preprocessor1_Model1,SVM,TRUE,reflectance_raw,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold1,rmse,standard,6.68427417269776,Preprocessor1_Model1,RF,TRUE,reflectance_raw,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold1,rsq,standard,0.023864530294357908,Preprocessor1_Model1,RF,TRUE,reflectance_raw,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold2,rmse,standard,7.743962860524584,Preprocessor1_Model1,RF,TRUE,reflectance_raw,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold2,rsq,standard,0.14633043972456988,Preprocessor1_Model1,RF,TRUE,reflectance_raw,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat2,Fold1,rmse,standard,8.17459083369772,Preprocessor1_Model1,RF,TRUE,reflectance_raw,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat2,Fold1,rsq,standard,0.09711841569247688,Preprocessor1_Model1,RF,TRUE,reflectance_raw,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat2,Fold2,rmse,standard,9.14010029978246,Preprocessor1_Model1,RF,TRUE,reflectance_raw,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat2,Fold2,rsq,standard,8.090027510541715e-4,Preprocessor1_Model1,RF,TRUE,reflectance_raw,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold1,rmse,standard,8.505479303307416,Preprocessor1_Model1,LASSO,TRUE,reflectance_smoothed,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold1,rsq,standard,0.002870304823117981,Preprocessor1_Model1,LASSO,TRUE,reflectance_smoothed,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold2,rmse,standard,14.337167594664177,Preprocessor1_Model1,LASSO,TRUE,reflectance_smoothed,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold2,rsq,standard,0.2904739763493728,Preprocessor1_Model1,LASSO,TRUE,reflectance_smoothed,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat2,Fold1,rmse,standard,14.513679025100476,Preprocessor1_Model1,LASSO,TRUE,reflectance_smoothed,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat2,Fold1,rsq,standard,0.042452253202507985,Preprocessor1_Model1,LASSO,TRUE,reflectance_smoothed,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat2,Fold2,rmse,standard,9.973883925058791,Preprocessor1_Model1,LASSO,TRUE,reflectance_smoothed,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat2,Fold2,rsq,standard,0.01002063089957126,Preprocessor1_Model1,LASSO,TRUE,reflectance_smoothed,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold1,rmse,standard,6.6998977409017995,Preprocessor1_Model1,LASSO 0.8 cor filter,TRUE,reflectance_smoothed,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold1,rsq,standard,0.0186438574249957,Preprocessor1_Model1,LASSO 0.8 cor filter,TRUE,reflectance_smoothed,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold2,rmse,standard,7.905918737814468,Preprocessor1_Model1,LASSO 0.8 cor filter,TRUE,reflectance_smoothed,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold2,rsq,standard,0.19622264421093039,Preprocessor1_Model1,LASSO 0.8 cor filter,TRUE,reflectance_smoothed,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat2,Fold1,rmse,standard,8.614881220444586,Preprocessor1_Model1,LASSO 0.8 cor filter,TRUE,reflectance_smoothed,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat2,Fold1,rsq,standard,0.01591463041157556,Preprocessor1_Model1,LASSO 0.8 cor filter,TRUE,reflectance_smoothed,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat2,Fold2,rmse,standard,9.649998761585511,Preprocessor1_Model1,LASSO 0.8 cor filter,TRUE,reflectance_smoothed,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat2,Fold2,rsq,standard,0.003439708634614299,Preprocessor1_Model1,LASSO 0.8 cor filter,TRUE,reflectance_smoothed,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold1,rmse,standard,6.934164219233037,Preprocessor1_Model1,PLSR,TRUE,reflectance_smoothed,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold1,rsq,standard,0.007466746277036374,Preprocessor1_Model1,PLSR,TRUE,reflectance_smoothed,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold2,rmse,standard,17.172180058558308,Preprocessor1_Model1,PLSR,TRUE,reflectance_smoothed,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold2,rsq,standard,0.3328750341391384,Preprocessor1_Model1,PLSR,TRUE,reflectance_smoothed,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat2,Fold1,rmse,standard,14.302514023229932,Preprocessor1_Model1,PLSR,TRUE,reflectance_smoothed,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat2,Fold1,rsq,standard,0.025546644972826257,Preprocessor1_Model1,PLSR,TRUE,reflectance_smoothed,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat2,Fold2,rmse,standard,10.971387185124259,Preprocessor1_Model1,PLSR,TRUE,reflectance_smoothed,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat2,Fold2,rsq,standard,0.0366214274750145,Preprocessor1_Model1,PLSR,TRUE,reflectance_smoothed,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold1,rmse,standard,8.029056508001357,Preprocessor1_Model1,SVM,TRUE,reflectance_smoothed,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold1,rsq,standard,0.019368776734377993,Preprocessor1_Model1,SVM,TRUE,reflectance_smoothed,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold2,rmse,standard,7.2899890603257615,Preprocessor1_Model1,SVM,TRUE,reflectance_smoothed,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold2,rsq,standard,0.01498230223281681,Preprocessor1_Model1,SVM,TRUE,reflectance_smoothed,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat2,Fold1,rmse,standard,9.332129170035316,Preprocessor1_Model1,SVM,TRUE,reflectance_smoothed,VNIR only,Pu,None,2020-06-09,Full spectrum
