id,id2,.metric,.estimator,.estimate,.config,model,alive_only,response,VNIR_only,normalization,derivative,imaging_date,dataset
Repeat1,Fold1,rmse,standard,11.285915231797297,Preprocessor1_Model1,PLSR,TRUE,reflectance_raw,VNIR only,Pu,None,2021-06-15,Full spectrum
Repeat1,Fold1,rsq,standard,0.19178082649997996,Preprocessor1_Model1,PLSR,TRUE,reflectance_raw,VNIR only,Pu,None,2021-06-15,Full spectrum
Repeat1,Fold2,rmse,standard,11.645739905824264,Preprocessor1_Model1,PLSR,TRUE,reflectance_raw,VNIR only,Pu,None,2021-06-15,Full spectrum
Repeat1,Fold2,rsq,standard,0.7519623091965607,Preprocessor1_Model1,PLSR,TRUE,reflectance_raw,VNIR only,Pu,None,2021-06-15,Full spectrum
Repeat1,Fold3,rmse,standard,14.464464934451232,Preprocessor1_Model1,PLSR,TRUE,reflectance_raw,VNIR only,Pu,None,2021-06-15,Full spectrum
Repeat1,Fold3,rsq,standard,0.45528688215230817,Preprocessor1_Model1,PLSR,TRUE,reflectance_raw,VNIR only,Pu,None,2021-06-15,Full spectrum
Repeat1,Fold4,rmse,standard,13.287630031551503,Preprocessor1_Model1,PLSR,TRUE,reflectance_raw,VNIR only,Pu,None,2021-06-15,Full spectrum
Repeat1,Fold4,rsq,standard,0.5638362522642898,Preprocessor1_Model1,PLSR,TRUE,reflectance_raw,VNIR only,Pu,None,2021-06-15,Full spectrum
Repeat1,Fold5,rmse,standard,9.96998440223241,Preprocessor1_Model1,PLSR,TRUE,reflectance_raw,VNIR only,Pu,None,2021-06-15,Full spectrum
Repeat1,Fold5,rsq,standard,0.8233680938907172,Preprocessor1_Model1,PLSR,TRUE,reflectance_raw,VNIR only,Pu,None,2021-06-15,Full spectrum
Repeat2,Fold1,rmse,standard,14.882624308606898,Preprocessor1_Model1,PLSR,TRUE,reflectance_raw,VNIR only,Pu,None,2021-06-15,Full spectrum
Repeat2,Fold1,rsq,standard,0.084600583482829,Preprocessor1_Model1,PLSR,TRUE,reflectance_raw,VNIR only,Pu,None,2021-06-15,Full spectrum
Repeat2,Fold2,rmse,standard,7.252980503255767,Preprocessor1_Model1,PLSR,TRUE,reflectance_raw,VNIR only,Pu,None,2021-06-15,Full spectrum
Repeat2,Fold2,rsq,standard,0.38162065129058975,Preprocessor1_Model1,PLSR,TRUE,reflectance_raw,VNIR only,Pu,None,2021-06-15,Full spectrum
Repeat2,Fold3,rmse,standard,9.565119108198644,Preprocessor1_Model1,PLSR,TRUE,reflectance_raw,VNIR only,Pu,None,2021-06-15,Full spectrum
Repeat2,Fold3,rsq,standard,0.9030961792703313,Preprocessor1_Model1,PLSR,TRUE,reflectance_raw,VNIR only,Pu,None,2021-06-15,Full spectrum
Repeat2,Fold4,rmse,standard,14.54378203620751,Preprocessor1_Model1,PLSR,TRUE,reflectance_raw,VNIR only,Pu,None,2021-06-15,Full spectrum
Repeat2,Fold4,rsq,standard,0.5153133924359685,Preprocessor1_Model1,PLSR,TRUE,reflectance_raw,VNIR only,Pu,None,2021-06-15,Full spectrum
Repeat2,Fold5,rmse,standard,13.213864565072075,Preprocessor1_Model1,PLSR,TRUE,reflectance_raw,VNIR only,Pu,None,2021-06-15,Full spectrum
Repeat2,Fold5,rsq,standard,0.81493192458093755,Preprocessor1_Model1,PLSR,TRUE,reflectance_raw,VNIR only,Pu,None,2021-06-15,Full spectrum
Repeat3,Fold1,rmse,standard,13.74338801854821,Preprocessor1_Model1,PLSR,TRUE,reflectance_raw,VNIR only,Pu,None,2021-06-15,Full spectrum
Repeat3,Fold1,rsq,standard,0.039643276306841155,Preprocessor1_Model1,PLSR,TRUE,reflectance_raw,VNIR only,Pu,None,2021-06-15,Full spectrum
Repeat3,Fold2,rmse,standard,15.972032978471637,Preprocessor1_Model1,PLSR,TRUE,reflectance_raw,VNIR only,Pu,None,2021-06-15,Full spectrum
Repeat3,Fold2,rsq,standard,0.3111877054319803,Preprocessor1_Model1,PLSR,TRUE,reflectance_raw,VNIR only,Pu,None,2021-06-15,Full spectrum
Repeat3,Fold3,rmse,standard,10.037466714019537,Preprocessor1_Model1,PLSR,TRUE,reflectance_raw,VNIR only,Pu,None,2021-06-15,Full spectrum
Repeat3,Fold3,rsq,standard,0.8362898656133344,Preprocessor1_Model1,PLSR,TRUE,reflectance_raw,VNIR only,Pu,None,2021-06-15,Full spectrum
Repeat3,Fold4,rmse,standard,13.891128592328384,Preprocessor1_Model1,PLSR,TRUE,reflectance_raw,VNIR only,Pu,None,2021-06-15,Full spectrum
