Timestamp,Target Temperature (°C),Actual Temperature (°C),Relative Humidity (%),Target Maximum Temperature (°C),Target Minimum Temperature (°C)
2020-04-28 00:19:04,28.0,22.6,45.0,22.0,16.0
2020-04-28 00:49:04,28.0,22.5,45.0,22.0,16.0
2020-04-28 01:19:04,28.0,22.4,45.0,22.0,16.0
2020-04-28 01:49:04,28.0,22.4,46.0,22.0,16.0
2020-04-28 02:19:04,28.0,22.3,46.0,22.0,16.0
2020-04-28 02:49:04,28.0,22.2,47.0,22.0,16.0
2020-04-28 03:19:04,28.0,22.2,47.0,22.0,16.0
2020-04-28 03:49:04,28.0,22.1,47.0,22.0,16.0
2020-04-28 04:19:04,28.0,22.1,47.0,22.0,16.0
2020-04-28 04:49:04,28.0,22.1,46.0,22.0,16.0
2020-04-28 05:19:04,28.0,22.0,47.0,22.0,16.0
2020-04-28 05:49:04,28.0,22.0,49.0,22.0,16.0
2020-04-28 06:19:04,28.0,22.2,51.0,22.0,16.0
2020-04-28 06:49:04,28.0,22.3,53.0,22.0,16.0
2020-04-28 07:19:04,28.0,22.8,53.0,22.0,16.0
2020-04-28 07:49:04,28.0,23.5,52.0,22.0,16.0
2020-04-28 08:19:04,28.0,24.3,52.0,22.0,16.0
2020-04-28 08:49:04,21.3,24.8,47.0,25.0,15.0
2020-04-28 09:19:04,21.3,25.2,45.0,25.0,15.0
2020-04-28 09:49:04,22.5,26.0,44.0,25.0,15.0
2020-04-28 10:19:04,22.5,26.3,50.0,25.0,15.0
2020-04-28 10:49:04,23.5,26.3,56.0,25.0,15.0
2020-04-28 11:19:04,23.5,26.5,57.0,25.0,15.0
2020-04-28 11:49:04,24.3,27.5,51.0,25.0,15.0
2020-04-28 12:19:04,24.3,28.9,50.0,25.0,15.0
2020-04-28 12:49:04,24.8,28.7,42.0,25.0,15.0
2020-04-28 13:19:04,24.8,27.9,43.0,25.0,15.0
2020-04-28 13:49:04,25.0,27.2,45.0,25.0,15.0
2020-04-28 14:19:04,25.0,26.6,49.0,25.0,15.0
2020-04-28 14:49:04,24.8,26.1,50.0,25.0,15.0
2020-04-28 15:19:04,24.8,25.4,50.0,25.0,15.0
2020-04-28 15:49:04,24.3,25.1,53.0,25.0,15.0
2020-04-28 16:19:04,24.3,24.9,56.0,25.0,15.0
2020-04-28 16:49:04,23.5,24.4,57.0,25.0,15.0
2020-04-28 17:19:04,23.5,24.1,57.0,25.0,15.0
2020-04-28 17:49:04,22.5,23.9,57.0,25.0,15.0
2020-04-28 18:19:04,22.5,23.9,57.0,25.0,15.0
2020-04-28 18:49:04,21.3,23.8,58.0,25.0,15.0
2020-04-28 19:19:04,21.3,23.8,58.0,25.0,15.0
2020-04-28 19:49:04,20.0,23.7,58.0,25.0,15.0
2020-04-28 20:19:04,20.0,23.5,58.0,25.0,15.0
2020-04-28 20:49:04,18.7,23.3,59.0,25.0,15.0
2020-04-28 21:19:04,18.7,23.0,60.0,25.0,15.0
2020-04-28 21:49:04,17.5,22.8,62.0,25.0,15.0
