id_with_controls,type,treatment,id_tag,di,rep,lane,position,block,unit
CVR480,Cultivar,Control,080316-R1,0,1,1,1,1,1
Genesis090,Cultivar,16CUR018,080317-R1,0.125,1,1,2,1,2
CVR484,Cultivar,16CUR018,080320-R1,13.67948717948718,1,1,5,1,5
CVR480,Cultivar,16CUR018,080341-R1,1.112068965517241,1,2,1,1,6
CVR484,Cultivar,Control,080344-R1,0,1,2,4,1,9
Howzat,Cultivar,Control,080345-R1,0,1,2,5,1,10
CVR477,Cultivar,Control,080366-R1,0,1,3,1,1,11
CVR477,Cultivar,16CUR018,080367-R1,1.5416666666666667,1,3,2,1,12
Genesis090,Cultivar,Control,080369-R1,0,1,3,4,1,14
Howzat,Cultivar,16CUR018,080370-R1,7.791666666666667,1,3,5,1,15
Howzat,Cultivar,Control,080322-R2,0,2,1,7,2,2
Genesis090,Cultivar,16CUR018,080324-R2,16.916666666666668,2,1,9,2,4
CVR484,Cultivar,Control,080325-R2,0,2,1,10,2,5
CVR484,Cultivar,16CUR018,080347-R2,10.145833333333334,2,2,7,2,7
CVR480,Cultivar,Control,080348-R2,0,2,2,8,2,8
Genesis090,Cultivar,Control,080349-R2,0,2,2,9,2,9
CVR480,Cultivar,16CUR018,080350-R2,1.612068965517241,2,2,10,2,10
CVR477,Cultivar,Control,080371-R2,0,2,3,6,2,11
CVR477,Cultivar,16CUR018,080372-R2,11.78921568627451,2,3,7,2,12
Howzat,Cultivar,16CUR018,080374-R2,14.63888888888889,2,3,9,2,14
Howzat,Cultivar,Control,080326-R3,0,3,1,11,3,1
Howzat,Cultivar,16CUR018,080330-R3,6.333333333333333,3,1,15,3,5
CVR484,Cultivar,Control,080351-R3,0,3,2,11,3,6
CVR477,Cultivar,16CUR018,080353-R3,0.5,3,2,13,3,8
CVR480,Cultivar,16CUR018,080354-R3,1.4615384615384617,3,2,14,3,9
Genesis090,Cultivar,16CUR018,080355-R3,1.0865384615384617,3,2,15,3,10
CVR477,Cultivar,Control,080376-R3,0,3,3,11,3,11
CVR484,Cultivar,16CUR018,080377-R3,7.806451612903226,3,3,12,3,12
CVR480,Cultivar,Control,080378-R3,0,3,3,13,3,13
Genesis090,Cultivar,Control,080380-R3,0,3,3,15,3,15
Genesis090,Cultivar,Control,080331-R4,0,4,1,16,4,1
CVR480,Cultivar,16CUR018,080332-R4,0.25,4,1,17,4,2
Genesis090,Cultivar,16CUR018,080334-R4,3.678571428571429,4,1,19,4,4
CVR484,Cultivar,16CUR018,080335-R4,18.05952380952381,4,1,20,4,5
Howzat,Cultivar,16CUR018,080357-R4,1.7651515151515151,4,2,17,4,7
CVR477,Cultivar,16CUR018,080359-R4,1.5416666666666667,4,2,19,4,9
CVR480,Cultivar,Control,080360-R4,0,4,2,20,4,10
CVR477,Cultivar,Control,080381-R4,0,4,3,16,4,11
Howzat,Cultivar,Control,080382-R4,0,4,3,17,4,12
CVR484,Cultivar,Control,080383-R4,0,4,3,18,4,13
Genesis090,Cultivar,Control,080336-R5,0,5,1,21,5,1
Howzat,Cultivar,Control,080337-R5,0,5,1,22,5,2
Genesis090,Cultivar,16CUR018,080339-R5,8.720588235294118,5,1,24,5,4
CVR480,Cultivar,16CUR018,080340-R5,0,5,1,25,5,5
CVR480,Cultivar,Control,080362-R5,0,5,2,22,5,7
CVR477,Cultivar,Control,080363-R5,0,5,2,23,5,8
CVR484,Cultivar,Control,080364-R5,0,5,2,24,5,9
Howzat,Cultivar,16CUR018,080386-R5,8.612903225806452,5,3,21,5,11
CVR477,Cultivar,16CUR018,080387-R5,21.55128205128205,5,3,22,5,12
CVR484,Cultivar,16CUR018,080388-R5,11.083333333333334,5,3,23,5,13
