id_with_controls,type,treatment,id_tag,di,lane,position,row,rep
CVR484,Cultivar,Control,085468-C,0,1,7,2,1
CVR481,Cultivar,Control,085469-C,0,1,8,2,1
Genesis090,Cultivar,Control,085480-C,0,2,7,2,1
CVR480,Cultivar,Control,085492-C,0,3,7,2,1
CVR477,Cultivar,Control,085501-C,0,4,7,2,1
Howzat,Cultivar,Control,085481-C,0,2,8,2,1
WLD085,Wild cicer,Control,085493-C,0,3,8,2,1
Genesis090,Cultivar,Control,085471-C,0,1,10,3,2
CVR480,Cultivar,Control,085482-C,0,2,9,3,2
Howzat,Cultivar,Control,085470-C,0,1,9,3,2
CVR484,Cultivar,Control,085494-C,0,3,9,3,2
WLD085,Wild cicer,Control,085495-C,0,3,10,3,2
CVR481,Cultivar,Control,085483-C,0,2,10,3,2
CVR477,Cultivar,Control,085502-C,0,4,9,3,2
CVR484,Cultivar,Control,085475-C,0,2,2,1,3
WLD085,Wild cicer,Control,085463-C,0,1,2,1,3
CVR480,Cultivar,Control,085486-C,0,3,1,1,3
CVR477,Cultivar,Control,085462-C,0,1,1,1,3
Genesis090,Cultivar,Control,085487-C,0,3,2,1,3
CVR481,Cultivar,Control,085474-C,0,2,1,1,3
Howzat,Cultivar,Control,085498-C,0,4,1,1,3
Genesis090,Cultivar,Control,085504-C,0,5,2,1,4
WLD085,Wild cicer,Control,085557-C,0,11,1,4,4
Howzat,Cultivar,Control,085516-C,0,6,2,1,4
CVR484,Cultivar,Control,085539-C,0,8,1,1,4
CVR480,Cultivar,Control,085528-C,0,7,2,1,4
CVR481,Cultivar,Control,085527-C,0,7,1,1,4
CVR477,Cultivar,Control,085515-C,0,6,1,1,4
Genesis090,Cultivar,Control,085508-C,0,5,6,2,5
CVR477,Cultivar,Control,085532-C,0,7,6,2,5
Howzat,Cultivar,Control,085507-C,0,5,5,2,5
CVR481,Cultivar,Control,085531-C,0,7,5,2,5
CVR484,Cultivar,Control,085520-C,0,6,6,2,5
CVR480,Cultivar,Control,085441-C,0,NA,NA,1,5
WLD085,Wild cicer,Control,085519-C,0,6,5,2,5
CVR477,Cultivar,Control,085524-C,0,6,10,3,6
Howzat,Cultivar,Control,085511-C,0,5,9,3,6
CVR481,Cultivar,Control,085543-C,0,8,9,3,6
Genesis090,Cultivar,Control,085536-C,0,7,10,3,6
WLD085,Wild cicer,Control,085535-C,0,7,9,3,6
CVR480,Cultivar,Control,085512-C,0,5,10,3,6
CVR484,Cultivar,Control,085523-C,0,6,9,3,6
CVR481,Cultivar,16CUR018,085478-I,2.1129032258064515,2,5,2,1
WLD085,Wild cicer,16CUR018,085500-I,0,4,5,2,1
CVR480,Cultivar,16CUR018,085467-I,2.166666666666667,1,6,2,1
CVR484,Cultivar,16CUR018,085491-I,17.852564102564102,3,6,2,1
CVR477,Cultivar,16CUR018,085466-I,31.225806451612904,1,5,2,1
Howzat,Cultivar,16CUR018,085490-I,21.285714285714285,3,5,2,1
Genesis090,Cultivar,16CUR018,085479-I,37.980769230769226,2,6,2,1
Howzat,Cultivar,16CUR018,085472-I,17.25,1,11,3,2
CVR477,Cultivar,16CUR018,085484-I,33.84615384615385,2,11,3,2
WLD085,Wild cicer,16CUR018,085485-I,0,2,12,3,2
CVR481,Cultivar,16CUR018,085497-I,11.833333333333334,3,12,3,2
CVR480,Cultivar,16CUR018,085496-I,3.836206896551724,3,11,3,2
Genesis090,Cultivar,16CUR018,085473-I,2.4741379310344827,1,12,3,2
CVR484,Cultivar,16CUR018,085503-I,53.611111111111114,4,11,3,2
CVR484,Cultivar,16CUR018,085464-I,1.1578947368421053,1,3,1,3
Howzat,Cultivar,16CUR018,085465-I,26.25,1,4,1,3
CVR480,Cultivar,16CUR018,085489-I,2.3125,3,4,1,3
CVR477,Cultivar,16CUR018,085477-I,11.78921568627451,2,4,1,3
WLD085,Wild cicer,16CUR018,085476-I,0,2,3,1,3
CVR481,Cultivar,16CUR018,085488-I,2.041666666666667,3,3,1,3
Genesis090,Cultivar,16CUR018,085499-I,37.75,4,3,1,3
CVR477,Cultivar,16CUR018,085506-I,35.53030303030303,5,4,1,4
Genesis090,Cultivar,16CUR018,085505-I,9.772727272727272,5,3,1,4
CVR481,Cultivar,16CUR018,085530-I,23.095238095238095,7,4,1,4
CVR480,Cultivar,16CUR018,085518-I,1.2352941176470589,6,4,1,4
Howzat,Cultivar,16CUR018,085540-I,5.625,8,3,1,4
WLD085,Wild cicer,16CUR018,085517-I,0,6,3,1,4
CVR484,Cultivar,16CUR018,085529-I,70,7,3,1,4
CVR477,Cultivar,16CUR018,085544-I,41.52777777777778,8,11,3,5
CVR480,Cultivar,16CUR018,085526-I,4.384615384615385,6,12,3,5
Howzat,Cultivar,16CUR018,085538-I,27.083333333333336,7,12,3,5
WLD085,Wild cicer,16CUR018,085513-I,0,5,11,3,5
CVR481,Cultivar,16CUR018,085537-I,21.176470588235293,7,11,3,5
Genesis090,Cultivar,16CUR018,085525-I,55,6,11,3,5
CVR484,Cultivar,16CUR018,085514-I,67.5,5,12,3,5
Howzat,Cultivar,16CUR018,085533-I,0.5,7,7,2,6
CVR480,Cultivar,16CUR018,085534-I,5.321428571428571,7,8,2,6
WLD085,Wild cicer,16CUR018,085542-I,0,8,7,2,6
CVR484,Cultivar,16CUR018,085509-I,14.62121212121212,5,7,2,6
Genesis090,Cultivar,16CUR018,085522-I,3.9193548387096775,6,8,2,6
CVR481,Cultivar,16CUR018,085510-I,2.5,5,8,2,6
CVR477,Cultivar,16CUR018,085521-I,20.952380952380953,6,7,2,6
